"Severity","Rule","Source","Destination","Application","Service","Action","Profile","Type","Detail"
"Critical","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (AnyDesk, App-ID 'anydesk') toward destination address='any'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (SSH, App-ID 'ssh') toward destination address='10.40.10.10/32'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Allow-Wide-Open-DMZ-Inbound","outside / any","dmz / any","any","any","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'dmz' / 'any') with source address/destination address/application/service left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"Critical","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (FTP, App-ID 'ftp') toward destination address='10.40.60.5/32'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'inside' / 'any') with source address/destination address/application/service left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"Critical","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","inbound_risky_port","Inbound from the internet on a high-risk port (Telnet, port 23). This is an UNENCRYPTED/cleartext protocol; credentials and data are visible to anyone who can observe the traffic toward destination address='10.40.90.2/32'. Verify this is intentional and scoped down if not."
"Critical","Allow-Corp-To-SWIFT-Zone","inside / any","swift / any","any","application-default","allow","none","unrestricted_access_to_critical_zone","Rule allows access into critical zone 'swift' from a non-critical zone ('inside') with source address/destination address (reaches the entire critical zone, not a specific host)/application/service left unrestricted. Critical zones (e.g. SWIFT secure zone, CDE, ATM, core banking) must be isolated from the general network per SWIFT CSCF, PCI DSS, and FFIEC guidance, not just from the internet."
"Critical","Allow-RDP-From-Internet","outside / any","dmz / 10.40.10.5/32","ms-rdp","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (RDP, App-ID 'ms-rdp') toward destination address='10.40.10.5/32'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (TeamViewer, App-ID 'teamviewer') toward destination address='10.10.5.0/24'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Allow-AnyDesk-Remote-Support","outside / any","inside / 10.10.5.0/24","anydesk","application-default","allow","none","inbound_risky_application","Inbound from the internet using a high-risk application (AnyDesk, App-ID 'anydesk') toward destination address='10.10.5.0/24'. Verify this is intentional and scoped down (specific source IPs, MFA/VPN in front of it) if not."
"Critical","Deny-Compromised-Host-DMZ","outside / any","dmz / 10.45.10.99/32","any","any","deny","none","allow_shadows_deny","This DENY rule is fully covered by an earlier ALLOW rule ('Allow-DMZ-Subnet-Broad') with equal-or-broader scope. It can never trigger. The traffic it was meant to block is actually permitted by the earlier rule. Whoever relies on this deny believes the traffic is blocked; it isn't."
"High","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","outbound_risky_application","Outbound rule permits a high-risk application (SSH, App-ID 'ssh') from source address='10.200.0.0/16' out to the internet. A potential data-exfiltration or tunneling channel if the source host is ever compromised. Verify this is intentional and scoped down if not."
"High","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'server' / '10.200.0.0/16', destination 'outside' / '62.49.10.92/28') with service left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'inside' / '10.10.5.0/24') with source address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none","outbound_risky_port","Outbound rule permits a high-risk port (DNS over TLS, port 853) from source address='10.10.5.0/24' out to the internet. A potential data-exfiltration or tunneling channel if the source host is ever compromised. Verify this is intentional and scoped down if not."
"High","Allow-Wide-Open-DMZ-Inbound","outside / any","dmz / any","any","any","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-DoH-Explicit-App","inside / 10.10.5.0/24","outside / 8.8.8.8/32","dns-over-https","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-DoH-Explicit-App","inside / 10.10.5.0/24","outside / 8.8.8.8/32","dns-over-https","application-default","allow","none","outbound_risky_application","Outbound rule permits a high-risk application (DNS over HTTPS, App-ID 'dns-over-https') from source address='10.10.5.0/24' out to the internet. A potential data-exfiltration or tunneling channel if the source host is ever compromised. Verify this is intentional and scoped down if not."
"High","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-Plain-DNS-Google-Cloudflare","inside / 10.10.5.0/24","outside / 8.8.8.8;1.1.1.1","dns","udp-53","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'inside' / '10.10.5.0/24', destination 'outside' / 'any') with destination address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-Negated-RFC1918-Full","dmz / [Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","outside / any","web-browsing","application-default","allow","strict","negated_rfc1918_effectively_public","Source address ('[Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255') negates the private RFC1918 ranges. Functionally equivalent to 'any public source address', even though no token literally says 'any'. Easy to miss in manual review."
